# IoT Piezoelectric Energy Harvesting — Sample Session Log
# Hardware: 6x piezo discs, Arduino Uno, bridge rectifier, 470uF cap
# Threshold=80  Debounce=300ms  AvgSamples=8
Steps,Voltage_V,A0_Raw,Energy_uJ,PeakV_Session
0,0.044,4,0.00,0.044
0,0.033,3,0.00,0.044
1,2.847,234,1.91,2.847
1,1.562,128,0.57,2.847
1,0.891,73,0.19,2.847
2,3.102,267,2.26,3.102
2,1.734,142,0.71,3.102
2,0.924,76,0.20,3.102
3,2.991,251,2.11,3.102
3,1.645,135,0.64,3.102
4,4.235,384,4.22,4.235
4,2.331,191,1.28,4.235
4,1.102,90,0.29,4.235
5,3.542,303,2.96,4.235
5,1.893,155,0.85,4.235
6,2.744,225,1.78,4.235
6,1.421,116,0.48,4.235
7,3.887,332,3.57,4.235
7,2.104,172,1.04,4.235
8,4.102,369,3.97,4.235
8,2.567,210,1.56,4.235
9,3.214,274,2.44,4.235
9,1.744,143,0.72,4.235
10,4.512,405,4.79,4.512
10,2.891,237,1.97,4.512
